"Timestamp","Source IP Address","Destination IP Address","Source Port","Destination Port","Protocol","Packet Length","Traffic Type","Packet Type","Payload Data","Info"
"2024-06-24 16:30:06","192.168.1.43","239.255.255.250","59799","1900","SSDP","179","eth:ethertype:ip:udp:ssdp","179","","M-SEARCH * HTTP/1.1 "
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","58040","QUIC","162","eth:ethertype:ip:udp:quic","162","","Protected Payload (KP0)"
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","58040","QUIC","64","eth:ethertype:ip:udp:quic","64","","Protected Payload (KP0)"
"2024-06-24 16:30:06","192.168.1.41","142.250.218.138","58040","443","QUIC","73","eth:ethertype:ip:udp:quic","73","","Protected Payload (KP0), DCID=f30593640ca14906"
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","58040","QUIC","241","eth:ethertype:ip:udp:quic","241","","Protected Payload (KP0)"
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","58040","QUIC","63","eth:ethertype:ip:udp:quic","63","","Protected Payload (KP0)"
"2024-06-24 16:30:06","192.168.1.41","142.250.218.138","58040","443","QUIC","77","eth:ethertype:ip:udp:quic","77","","Protected Payload (KP0), DCID=f30593640ca14906"
"2024-06-24 16:30:06","192.168.1.41","142.250.218.138","53035","443","UDP","382","eth:ethertype:ip:udp:data","382","5be8087e11f4f6d2072a2087d85453d2a5106a23520dbc5c93f1afc938978787aa8415e3b6a275fa162b523571a5f4f7a33e8978e099e9e1365df3283a8e9fabe55f80710edcc253c1ba4e5fa82a086871340fc54bc31a45a56fb3990e945b5f84a43d4f3b1821081bbb62a498c3a47fa252adf6fc72eb67a998e1bfae859f7eb88e8b42edb92079076c8f3f9395721f54c5e3c2564e3222693922144a39075c3201fadab239056d64f5d85144ff237183d11092eb81d7ebc73126471aa849ccde56d451abe38da452d4bb2f77e5569e2ddbfceb53bafbcb6908a4e4e0aa48d7a1309f17f043f6b5a64e8cd4eb31a8124f2f797bc83343172ab2ac46f0567e58290879406011e98879df0c1e9dc6c75c4dcec2207496dde592d52bef25341ebe2089ff7a7f526fe34aa0ccd3c8a5b6b757ca21451611ef6ccf5ef43de9d90a71fca560c99098621b3f54d9c644182d37d01b2c43","53035  >  443 Len=340"
"2024-06-24 16:30:06","192.168.1.41","142.250.218.138","58040","443","QUIC","74","eth:ethertype:ip:udp:quic","74","","Protected Payload (KP0), DCID=f30593640ca14906"
"2024-06-24 16:30:06","172.217.28.110","192.168.1.41","443","54547","QUIC","1292","eth:ethertype:ip:udp:quic","1292","","Initial, SCID=e9df976726c2c7c9, PKN: 1, ACK, PADDING"
"2024-06-24 16:30:06","172.217.28.110","192.168.1.41","443","54547","QUIC","1292","eth:ethertype:ip:udp:quic:tls","1292","","Handshake, SCID=e9df976726c2c7c9"
"2024-06-24 16:30:06","172.217.28.110","192.168.1.41","443","54547","QUIC","670","eth:ethertype:ip:udp:quic","670","","Protected Payload (KP0)"
"2024-06-24 16:30:06","172.217.28.110","192.168.1.41","443","54547","QUIC","67","eth:ethertype:ip:udp:quic","67","","Protected Payload (KP0)"
"2024-06-24 16:30:06","192.168.1.41","172.217.28.110","54547","443","QUIC","121","eth:ethertype:ip:udp:quic","121","","Handshake, DCID=e9df976726c2c7c9"
"2024-06-24 16:30:06","192.168.1.41","172.217.28.110","54547","443","QUIC","73","eth:ethertype:ip:udp:quic","73","","Protected Payload (KP0), DCID=e9df976726c2c7c9"
"2024-06-24 16:30:06","192.168.1.41","172.217.28.110","54547","443","QUIC","1288","eth:ethertype:ip:udp:quic","1288","","Protected Payload (KP0), DCID=e9df976726c2c7c9"
"2024-06-24 16:30:06","192.168.1.41","172.217.28.110","54547","443","QUIC","1225","eth:ethertype:ip:udp:quic","1225","","Protected Payload (KP0), DCID=e9df976726c2c7c9"
"2024-06-24 16:30:06","192.168.1.41","8.8.8.8","61856","53","DNS","70","eth:ethertype:ip:udp:dns","70","","Standard query 0x78ea A dns.google"
"2024-06-24 16:30:06","192.168.1.41","8.8.8.8","52098","53","DNS","70","eth:ethertype:ip:udp:dns","70","","Standard query 0xa494 HTTPS dns.google"
"2024-06-24 16:30:06","8.8.8.8","192.168.1.41","53","61856","DNS","102","eth:ethertype:ip:udp:dns","102","","Standard query response 0x78ea A dns.google A 8.8.8.8 A 8.8.4.4"
"2024-06-24 16:30:06","Routerboardc_5e:b9:50","Broadcast","","","ARP","42","eth:ethertype:arp","42","","Who has 192.168.1.250? Tell 192.168.1.1"
"2024-06-24 16:30:06","192.168.1.43","239.255.255.250","1900","1900","SSDP","492","eth:ethertype:ip:udp:ssdp","492","","NOTIFY * HTTP/1.1 "
"2024-06-24 16:30:06","192.168.1.41","8.8.8.8","60675","443","TCP","66","eth:ethertype:ip:tcp","66","","60675  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2024-06-24 16:30:06","fe80::103c:1ae1:8556:446f","ff02::c","1900","1900","SSDP","521","eth:ethertype:ipv6:udp:ssdp","521","","NOTIFY * HTTP/1.1 "
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","58040","QUIC","67","eth:ethertype:ip:udp:quic","67","","Protected Payload (KP0)"
"2024-06-24 16:30:06","8.8.8.8","192.168.1.41","53","52098","DNS","146","eth:ethertype:ip:udp:dns","146","","Standard query response 0xa494 HTTPS dns.google SOA ns1.zdns.google"
"2024-06-24 16:30:06","8.8.8.8","192.168.1.41","443","60675","TCP","66","eth:ethertype:ip:tcp","66","","443  >  60675 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM WS=128"
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","53035","UDP","71","eth:ethertype:ip:udp:data","71","50ae391db0de935bcebcbc9eca815c6964f0a70c848fe1c4beff65d0a9","443  >  53035 Len=29"
"2024-06-24 16:30:06","192.168.1.41","8.8.8.8","60675","443","TCP","54","eth:ethertype:ip:tcp","54","","60675  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"2024-06-24 16:30:06","192.168.1.41","8.8.8.8","60675","443","TCP","1514","eth:ethertype:ip:tcp","1514","","60675  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"2024-06-24 16:30:06","192.168.1.41","8.8.8.8","60675","443","TLSv1.3","378","eth:ethertype:ip:tcp:tls","378","","Client Hello (SNI=dns.google)"
"2024-06-24 16:30:06","8.8.8.8","192.168.1.41","443","60675","TCP","54","eth:ethertype:ip:tcp","54","","443  >  60675 [ACK] Seq=1 Ack=1461 Win=17536 Len=0"
"2024-06-24 16:30:06","8.8.8.8","192.168.1.41","443","60675","TCP","54","eth:ethertype:ip:tcp","54","","443  >  60675 [ACK] Seq=1 Ack=1785 Win=20480 Len=0"
